hashtags,retweeted,coordinates,content,followers_count,score,location,retweet_count,listed_count,favorited,utc_offset,description,user_mentions,trackback_author_url,geo_enabled,geo,lang,favourites_count,firstpost_date,url,time_zone,place,trackback_author_nick,trackback_permalink
camp~hemophilia~bleedingdisorders,False,None,"Help raise $5,000 for #camp! Go here and comment ""Camp United Hands."" Only vote once! #hemophilia #bleedingdisorders
http://t.co/Pm4zszQMDM",32,7.736565,,0,0,False,-21600,"Partner and Consumer Advocate for Reliance Factor of Texas, LLC and Reliance Factor of New Mexico, LLC",,http://twitter.com/flgprohemo,False,None,en,46,06/01/14,http://twitter.com/flgprohemo/status/473010591544520705,Mountain Time (US & Canada),None,flgprohemo,http://twitter.com/FLGprohemo/status/473010591544520705
HemophiliaWalk~bleedingdisorders,False,None,The Stuyvesant High School team prepares their team for the NYC #HemophiliaWalk. #bleedingdisorders http://t.co/zYxveDPH1W,2771,12.703564,New York City,4,94,False,-14400,"NHF is dedicated to finding better treatments/cures for inheritable bleeding disorders & to preventing related complications via education, advocacy & research.",,http://twitter.com/nhf_hemophilia,True,None,en,156,06/01/14,http://twitter.com/nhf_hemophilia/status/473097867465224192,Eastern Time (US & Canada),None,nhf_hemophilia,http://twitter.com/NHF_Hemophilia/status/473097867465224192
HemophiliaWalk~bleedingdisorders,False,None,RT @NHF_Hemophilia: The Stuyvesant High School team prepares their team for the NYC #HemophiliaWalk. #bleedingdisorders http://t.co/zYxveDP…,1331,10.738077,"Raleigh, NC",4,95,False,-14400,"Charity Champion. Good News Gal. Food Banker, Yelper, Traveler.  Mama to an awesome young lady and many silly pets.",NHF_Hemophilia,http://twitter.com/charityjen,True,None,en,350,06/01/14,http://twitter.com/charityjen/status/473098638768766976,Eastern Time (US & Canada),None,charityjen,http://twitter.com/CharityJen/status/473098638768766976
HemophiliaWalk~bleedingdisorders,False,None,Melissa Penn Stengal welcomes everyone to the 9th annual NYC #HemophiliaWalk #bleedingdisorders http://t.co/sCRI5vXfBa,2771,11.532976,New York City,1,94,False,-14400,"NHF is dedicated to finding better treatments/cures for inheritable bleeding disorders & to preventing related complications via education, advocacy & research.",,http://twitter.com/nhf_hemophilia,True,None,en,156,06/01/14,http://twitter.com/nhf_hemophilia/status/473104448605417472,Eastern Time (US & Canada),None,nhf_hemophilia,http://twitter.com/NHF_Hemophilia/status/473104448605417472
HemophiliaWalk~bleedingdisorders,False,None,RT @NHF_Hemophilia: The Stuyvesant High School team prepares their team for the NYC #HemophiliaWalk. #bleedingdisorders http://t.co/zYxveDP…,71,7.521139,,4,1,False,None,,NHF_Hemophilia,http://twitter.com/lopez09091960,True,None,fr,15,06/01/14,http://twitter.com/lopez09091960/status/473104476266835968,None,None,lopez09091960,http://twitter.com/Lopez09091960/status/473104476266835968
HemophiliaWalk~bleedingdisorders~hemophilia,False,None,We're walking in NYC at the NYC #HemophiliaWalk  #bleedingdisorders #hemophilia http://t.co/bTzRl7uwKO,2771,12.122782,New York City,2,94,False,-14400,"NHF is dedicated to finding better treatments/cures for inheritable bleeding disorders & to preventing related complications via education, advocacy & research.",,http://twitter.com/nhf_hemophilia,True,None,en,156,06/01/14,http://twitter.com/nhf_hemophilia/status/473109897190461440,Eastern Time (US & Canada),None,nhf_hemophilia,http://twitter.com/NHF_Hemophilia/status/473109897190461440
HemophiliaWalk~bleedingdisorders~hemophilia,False,None,RT @NHF_Hemophilia: We're walking in NYC at the NYC #HemophiliaWalk  #bleedingdisorders #hemophilia http://t.co/bTzRl7uwKO,32,7.543497,,2,0,False,-21600,"Partner and Consumer Advocate for Reliance Factor of Texas, LLC and Reliance Factor of New Mexico, LLC",NHF_Hemophilia,http://twitter.com/flgprohemo,False,None,en,46,06/01/14,http://twitter.com/flgprohemo/status/473113409207021568,Mountain Time (US & Canada),None,flgprohemo,http://twitter.com/FLGprohemo/status/473113409207021568
HemophiliaWalk~bleedingdisorders,False,None,RT @NHF_Hemophilia: The Stuyvesant High School team prepares their team for the NYC #HemophiliaWalk. #bleedingdisorders http://t.co/zYxveDP…,32,7.521139,,4,0,False,-21600,"Partner and Consumer Advocate for Reliance Factor of Texas, LLC and Reliance Factor of New Mexico, LLC",NHF_Hemophilia,http://twitter.com/flgprohemo,False,None,en,46,06/01/14,http://twitter.com/flgprohemo/status/473113505751519232,Mountain Time (US & Canada),None,flgprohemo,http://twitter.com/FLGprohemo/status/473113505751519232
HemophiliaWalk~bleedingdisorders~hemophilia,False,None,RT @NHF_Hemophilia: We're walking in NYC at the NYC #HemophiliaWalk  #bleedingdisorders #hemophilia http://t.co/bTzRl7uwKO,71,7.543497,,2,1,False,None,,NHF_Hemophilia,http://twitter.com/lopez09091960,True,None,fr,15,06/01/14,http://twitter.com/lopez09091960/status/473121531300970496,None,None,lopez09091960,http://twitter.com/Lopez09091960/status/473121531300970496
bleedingdisorders~hemophilia~rarediseases~atouchofscarlett,False,None,Raising awareness of Platelet Storage Pool Deficiency http://t.co/mpWZmXBaWt #bleedingdisorders #hemophilia #rarediseases #atouchofscarlett,117,7.2732806,,0,3,False,None,"Happily married mother of 2, daughter and I both have Platelet Storage Pool Disorder,  a rare bleeding disorder that we are trying to raise awareness about!",,http://twitter.com/kpeepe,False,None,en,76,06/02/14,http://twitter.com/kpeepe/status/473277796169416704,None,None,kpeepe,http://twitter.com/kpeepe/status/473277796169416704
HemophiliaWalk~bleedingdisorders,False,None,RT @NHF_Hemophilia: Melissa Penn Stengal welcomes everyone to the 9th annual NYC #HemophiliaWalk #bleedingdisorders http://t.co/sCRI5vXfBa,3,7.3912416,,1,0,False,None,,NHF_Hemophilia,http://twitter.com/lacorte_lacorte,False,None,en,0,06/02/14,http://twitter.com/lacorte_lacorte/status/473435914195066881,None,None,lacorte_lacorte,http://twitter.com/lacorte_lacorte/status/473435914195066881
HemophiliaWalk~bleedingdisorders,False,None,RT @NHF_Hemophilia: The Stuyvesant High School team prepares their team for the NYC #HemophiliaWalk. #bleedingdisorders http://t.co/zYxveDP…,3,7.521139,,4,0,False,None,,NHF_Hemophilia,http://twitter.com/lacorte_lacorte,False,None,en,0,06/02/14,http://twitter.com/lacorte_lacorte/status/473435952656822272,None,None,lacorte_lacorte,http://twitter.com/lacorte_lacorte/status/473435952656822272
bleedingdisorders~hemophilia,False,None,NHF’s ACT Initiative helps strengthen chapters: http://t.co/2UJFyHgKSN #bleedingdisorders #hemophilia,2771,10.735453,New York City,0,94,False,-14400,"NHF is dedicated to finding better treatments/cures for inheritable bleeding disorders & to preventing related complications via education, advocacy & research.",,http://twitter.com/nhf_hemophilia,True,None,en,156,06/02/14,http://twitter.com/nhf_hemophilia/status/473485019135373312,Eastern Time (US & Canada),None,nhf_hemophilia,http://twitter.com/NHF_Hemophilia/status/473485019135373312
